risk_factor,cause,age,beta
vegetables,Stroke,65-69,0.8427042689425535
vegetables,Stroke,70-74,0.7461469691196798
vegetables,Stroke,75-79,0.4948976049539969
vegetables,Stroke,80-84,0.4948976049539969
vegetables,Stroke,85-89,0.4948976049539969
vegetables,Stroke,90-94,0.4948976049539969
vegetables,Stroke,95+,0.4948976049539969
whole_grains,CHD,25-29,1.7677802175313722
whole_grains,CHD,30-34,1.7677802175313722
whole_grains,CHD,35-39,1.7677802175313722
whole_grains,CHD,40-44,1.4755718204373436
whole_grains,CHD,45-49,1.4197157854071394
whole_grains,CHD,50-54,1.2914612167507227
whole_grains,CHD,55-59,1.1032571913227402
whole_grains,CHD,60-64,1.0
whole_grains,CHD,65-69,0.9157019485849249
whole_grains,CHD,70-74,0.814372229077069
whole_grains,CHD,75-79,0.7592872718748898
whole_grains,CHD,80-84,0.7592872718748898
whole_grains,CHD,85-89,0.7592872718748898
whole_grains,CHD,90-94,0.7592872718748898
whole_grains,CHD,95+,0.7592872718748898
whole_grains,CRC,25-29,1.0
whole_grains,CRC,30-34,1.0
whole_grains,CRC,35-39,1.0
whole_grains,CRC,40-44,1.0
whole_grains,CRC,45-49,1.0
whole_grains,CRC,50-54,1.0
whole_grains,CRC,55-59,1.0
whole_grains,CRC,60-64,1.0
whole_grains,CRC,65-69,1.0
whole_grains,CRC,70-74,1.0
whole_grains,CRC,75-79,1.0
whole_grains,CRC,80-84,1.0
whole_grains,CRC,85-89,1.0
whole_grains,CRC,90-94,1.0
whole_grains,CRC,95+,1.0
whole_grains,Stroke,25-29,2.4375257480622277
whole_grains,Stroke,30-34,2.4375257480622277
whole_grains,Stroke,35-39,2.4375257480622277
whole_grains,Stroke,40-44,1.9730344516068978
whole_grains,Stroke,45-49,1.7027851024271716
whole_grains,Stroke,50-54,1.3711411431173894
whole_grains,Stroke,55-59,1.233753179498634
whole_grains,Stroke,60-64,1.0
whole_grains,Stroke,65-69,0.809441481049138
whole_grains,Stroke,70-74,0.6710084731909635
whole_grains,Stroke,75-79,0.5340250522550682
whole_grains,Stroke,80-84,0.5340250522550682
whole_grains,Stroke,85-89,0.5340250522550682
whole_grains,Stroke,90-94,0.5340250522550682
whole_grains,Stroke,95+,0.5340250522550682
whole_grains,T2DM,25-29,1.0
whole_grains,T2DM,30-34,1.0
whole_grains,T2DM,35-39,1.0
whole_grains,T2DM,40-44,1.0
whole_grains,T2DM,45-49,1.0
whole_grains,T2DM,50-54,1.0
whole_grains,T2DM,55-59,1.0
whole_grains,T2DM,60-64,1.0
whole_grains,T2DM,65-69,1.0
whole_grains,T2DM,70-74,1.0
whole_grains,T2DM,75-79,1.0
whole_grains,T2DM,80-84,1.0
whole_grains,T2DM,85-89,1.0
whole_grains,T2DM,90-94,1.0
whole_grains,T2DM,95+,1.0
