country,sex,age,lx,ex
ATG,male,70-74,71484.764,12.6934
ATG,male,75-79,59648.382,9.6979
ATG,male,80-84,45349.406,6.9339
ATG,male,85-89,26696.304,5.0035
ATG,male,90-94,11407.74,3.588
ATG,male,95+,2994.637,2.6012
AUS,female,<1,100000.0,85.8453
AUS,female,1-4,99757.404,85.0537
AUS,female,5-9,99708.546,81.0947
AUS,female,10-14,99685.277,76.1131
AUS,female,15-19,99653.996,71.136
AUS,female,20-24,99568.747,66.1946
AUS,female,25-29,99471.175,61.2571
AUS,female,30-34,99354.191,56.3262
AUS,female,35-39,99186.15,51.417
AUS,female,40-44,98925.698,46.5454
AUS,female,45-49,98528.86,41.7221
AUS,female,50-54,97935.086,36.9589
AUS,female,55-59,97042.249,32.2744
AUS,female,60-64,95742.115,27.6768
AUS,female,65-69,93863.184,23.1782
AUS,female,70-74,91048.341,18.8114
AUS,female,75-79,86413.321,14.6751
AUS,female,80-84,78543.203,10.8741
AUS,female,85-89,65002.992,7.5746
AUS,female,90-94,43750.652,4.9741
AUS,female,95+,19199.776,3.2037
AUS,male,<1,100000.0,82.2778
AUS,male,1-4,99717.618,81.5104
AUS,male,5-9,99661.382,77.5555
AUS,male,10-14,99631.121,72.5783
AUS,male,15-19,99588.775,67.6079
AUS,male,20-24,99423.254,62.7154
AUS,male,25-29,99172.233,57.8676
AUS,male,30-34,98888.94,53.0261
AUS,male,35-39,98540.199,48.2045
AUS,male,40-44,98062.333,43.4267
AUS,male,45-49,97401.959,38.7033
AUS,male,50-54,96438.172,34.0636
AUS,male,55-59,95070.314,29.5155
AUS,male,60-64,93017.384,25.1082
AUS,male,65-69,89999.903,20.8616
AUS,male,70-74,85711.207,16.7726
AUS,male,75-79,79085.122,12.9534
AUS,male,80-84,68704.274,9.5054
AUS,male,85-89,52609.481,6.6052
AUS,male,90-94,31212.379,4.3793
AUS,male,95+,11430.529,2.8893
AUT,female,<1,100000.0,84.4461
AUT,female,1-4,99762.513,83.6468
AUT,female,5-9,99701.208,79.6975
AUT,female,10-14,99681.507,74.7127
AUT,female,15-19,99649.353,69.7359
AUT,female,20-24,99578.991,64.7833
AUT,female,25-29,99501.245,59.832
AUT,female,30-34,99397.186,54.8919
AUT,female,35-39,99255.094,49.9666
AUT,female,40-44,99038.355,45.0701
AUT,female,45-49,98680.61,40.2238
AUT,female,50-54,98123.448,35.4369
AUT,female,55-59,97186.921,30.7523
AUT,female,60-64,95661.841,26.1998
AUT,female,65-69,93235.672,21.8116
AUT,female,70-74,89380.646,17.6369
AUT,female,75-79,83602.62,13.6728
AUT,female,80-84,75003.039,9.9325
