age,sex,country,population
70-74,female,ASM,471.0
75-79,female,ASM,248.0
80-84,female,ASM,161.0
85-89,female,ASM,62.0
90-94,female,ASM,20.0
95+,female,ASM,3.0
all-a,female,ASM,24632.0
<1,male,ASM,458.20000000000005
1-4,male,ASM,1832.8
5-9,male,ASM,2551.0
10-14,male,ASM,2752.0
15-19,male,ASM,2601.0
20-24,male,ASM,1675.0
25-29,male,ASM,1654.0
30-34,male,ASM,1547.0
35-39,male,ASM,1531.0
40-44,male,ASM,1639.0
45-49,male,ASM,1619.0
50-54,male,ASM,1639.0
55-59,male,ASM,1300.0
60-64,male,ASM,982.0
65-69,male,ASM,659.0
70-74,male,ASM,408.0
75-79,male,ASM,213.0
80-84,male,ASM,107.0
85-89,male,ASM,41.0
90-94,male,ASM,12.0
95+,male,ASM,2.0
all-a,male,ASM,25223.0
<1,female,ATG,515.2
1-4,female,ATG,2060.8
5-9,female,ATG,2863.0
10-14,female,ATG,3247.0
15-19,female,ATG,3296.0
20-24,female,ATG,3563.0
25-29,female,ATG,3659.0
30-34,female,ATG,3667.0
35-39,female,ATG,3458.0
40-44,female,ATG,3416.0
45-49,female,ATG,3537.0
50-54,female,ATG,3694.0
55-59,female,ATG,3242.0
60-64,female,ATG,2576.0
65-69,female,ATG,1891.0
70-74,female,ATG,1336.0
75-79,female,ATG,865.0
80-84,female,ATG,567.0
85-89,female,ATG,343.0
90-94,female,ATG,177.0
95+,female,ATG,77.0
all-a,female,ATG,48050.0
<1,male,ATG,530.4
1-4,male,ATG,2121.6
5-9,male,ATG,2948.0
10-14,male,ATG,3335.0
15-19,male,ATG,3383.0
20-24,male,ATG,3606.0
25-29,male,ATG,3510.0
30-34,male,ATG,3422.0
35-39,male,ATG,3227.0
40-44,male,ATG,3013.0
45-49,male,ATG,3049.0
50-54,male,ATG,3049.0
55-59,male,ATG,2637.0
60-64,male,ATG,2121.0
65-69,male,ATG,1515.0
70-74,male,ATG,961.0
75-79,male,ATG,581.0
80-84,male,ATG,331.0
85-89,male,ATG,146.0
90-94,male,ATG,47.0
95+,male,ATG,9.0
all-a,male,ATG,43542.0
