country,sex,cause,age,source_country,death_rate_per_1000
AFG,male,HaemorrhagicStroke,70-74,AFG,5.0952
AFG,male,HaemorrhagicStroke,75-79,AFG,7.138999999999999
AFG,male,HaemorrhagicStroke,80-84,AFG,7.5483
AFG,male,HaemorrhagicStroke,85-89,AFG,12.615499999999999
AFG,male,HaemorrhagicStroke,90-94,AFG,12.615499999999999
AFG,male,HaemorrhagicStroke,95+,AFG,12.615499999999999
AFG,male,HaemorrhagicStroke,<1,AFG,0.0441
AFG,male,StomachCancer,1-4,AFG,0.0
AFG,male,StomachCancer,10-14,AFG,0.0
AFG,male,StomachCancer,15-19,AFG,0.0022
AFG,male,StomachCancer,20-24,AFG,0.0026
AFG,male,StomachCancer,25-29,AFG,0.0032
AFG,male,StomachCancer,30-34,AFG,0.005600000000000001
AFG,male,StomachCancer,35-39,AFG,0.012
AFG,male,StomachCancer,40-44,AFG,0.0368
AFG,male,StomachCancer,45-49,AFG,0.1058
AFG,male,StomachCancer,5-9,AFG,0.0021
AFG,male,StomachCancer,50-54,AFG,0.2318
AFG,male,StomachCancer,55-59,AFG,0.4321
AFG,male,StomachCancer,60-64,AFG,0.6973999999999999
AFG,male,StomachCancer,65-69,AFG,0.9396
AFG,male,StomachCancer,70-74,AFG,1.1640000000000001
AFG,male,StomachCancer,75-79,AFG,1.3183
AFG,male,StomachCancer,80-84,AFG,1.4575
AFG,male,StomachCancer,85-89,AFG,1.6628999999999998
AFG,male,StomachCancer,90-94,AFG,1.6628999999999998
AFG,male,StomachCancer,95+,AFG,1.6628999999999998
AFG,male,StomachCancer,<1,AFG,0.0
AFG,male,Stroke,1-4,AFG,0.0024
AFG,male,Stroke,10-14,AFG,0.0011
AFG,male,Stroke,15-19,AFG,0.0062
AFG,male,Stroke,20-24,AFG,0.0072
AFG,male,Stroke,25-29,AFG,0.0137
AFG,male,Stroke,30-34,AFG,0.023
AFG,male,Stroke,35-39,AFG,0.050300000000000004
AFG,male,Stroke,40-44,AFG,0.09970000000000001
AFG,male,Stroke,45-49,AFG,0.24170000000000003
AFG,male,Stroke,5-9,AFG,0.0008
AFG,male,Stroke,50-54,AFG,0.47479999999999994
AFG,male,Stroke,55-59,AFG,0.8219
AFG,male,Stroke,60-64,AFG,2.1143
AFG,male,Stroke,65-69,AFG,3.7842000000000002
AFG,male,Stroke,70-74,AFG,8.021
AFG,male,Stroke,75-79,AFG,12.6776
AFG,male,Stroke,80-84,AFG,19.8709
AFG,male,Stroke,85-89,AFG,36.4574
AFG,male,Stroke,90-94,AFG,36.4574
AFG,male,Stroke,95+,AFG,36.4574
AFG,male,Stroke,<1,AFG,0.0096
AFG,male,T2DM,1-4,AFG,0.0027
AFG,male,T2DM,10-14,AFG,0.003
AFG,male,T2DM,15-19,AFG,0.0028000000000000004
AFG,male,T2DM,20-24,AFG,0.0045000000000000005
AFG,male,T2DM,25-29,AFG,0.0059
AFG,male,T2DM,30-34,AFG,0.009300000000000001
AFG,male,T2DM,35-39,AFG,0.0176
AFG,male,T2DM,40-44,AFG,0.0421
AFG,male,T2DM,45-49,AFG,0.09630000000000001
AFG,male,T2DM,5-9,AFG,0.001
