path,curve_cause,exposure,rr_mean,rr_low,rr_high,risk_lower,risk_upper,star_rating,rei_id,cause_id
sbp,CHD,167.676767676768,4.73565692463149,4.11172702491456,5.45426444214793,107.5,165.163126976954,5,107,493
sbp,CHD,168.686868686869,4.83149740945482,4.18731169610438,5.57478614245171,107.5,165.163126976954,5,107,493
sbp,CHD,169.69696969697,4.92565562755741,4.26143709531832,5.69340408378729,107.5,165.163126976954,5,107,493
sbp,CHD,170.707070707071,5.0176066857607,4.33370076707665,5.80944052350284,107.5,165.163126976954,5,107,493
sbp,CHD,171.717171717172,5.10669973028997,4.40360365635432,5.92205479203674,107.5,165.163126976954,5,107,493
sbp,CHD,172.727272727273,5.19122852494411,4.4698230297545,6.02906500297697,107.5,165.163126976954,5,107,493
sbp,CHD,173.737373737374,5.27096985483094,4.53220217250793,6.13015972214728,107.5,165.163126976954,5,107,493
sbp,CHD,174.747474747475,5.34581763250574,4.59067526585418,6.22517701754534,107.5,165.163126976954,5,107,493
sbp,CHD,175.757575757576,5.41528984783297,4.6448822867078,6.3134784319428,107.5,165.163126976954,5,107,493
sbp,CHD,176.767676767677,5.47949747690351,4.69492534875953,6.39517998030042,107.5,165.163126976954,5,107,493
sbp,CHD,177.777777777778,5.53881738597725,4.74111161498446,6.4707394650325,107.5,165.163126976954,5,107,493
sbp,CHD,178.787878787879,5.59407752860008,4.78409654074075,6.54119395992435,107.5,165.163126976954,5,107,493
sbp,CHD,179.79797979798,5.64565147471465,4.82417930910661,6.60700577894777,107.5,165.163126976954,5,107,493
sbp,CHD,180.808080808081,5.69549094592215,4.86288246427041,6.67065621129464,107.5,165.163126976954,5,107,493
sbp,CHD,181.818181818182,5.74522690059398,4.90147457254398,6.73422490533843,107.5,165.163126976954,5,107,493
sbp,CHD,182.828282828283,5.7949510430413,4.94002718676035,6.7978284980387,107.5,165.163126976954,5,107,493
sbp,CHD,183.838383838384,5.84466369344222,4.97854086012521,6.86146697379571,107.5,165.163126976954,5,107,493
