country,risk_factor,intake_g_per_day
BLR,nuts_seeds,7.852678657923965
BLR,processed_meat,56.68063153622394
BLR,red_meat,118.81321803373986
BLR,vegetables,286.20463610412344
BLR,whole_grains,26.49114587638885
BLZ,fruits,149.48567755263258
BLZ,legumes,46.59921995926979
BLZ,nuts_seeds,2.225255619430668
BLZ,processed_meat,22.60834761248131
BLZ,red_meat,43.20560591321102
BLZ,vegetables,93.17516944907835
BLZ,whole_grains,21.11900759686199
BOL,fruits,127.0402675886173
BOL,legumes,19.16698985671378
BOL,nuts_seeds,20.264315642401705
BOL,processed_meat,15.227509937377716
BOL,red_meat,104.97236403193943
BOL,vegetables,86.98019886660917
BOL,whole_grains,24.90305342428909
BRA,fruits,147.38655303088507
BRA,legumes,31.6976191213627
BRA,nuts_seeds,1.9164503967383804
BRA,processed_meat,45.09295331347528
BRA,red_meat,77.52393390877275
BRA,vegetables,82.20343811019568
BRA,whole_grains,6.312795015606857
BRB,fruits,119.92867260201254
BRB,legumes,16.881662454233247
BRB,nuts_seeds,10.77710473974964
BRB,processed_meat,11.002222359003005
BRB,red_meat,58.07146090030468
BRB,vegetables,137.40515052460407
BRB,whole_grains,67.25074068069426
BRN,fruits,67.81555007091197
BRN,legumes,11.787160802677793
BRN,nuts_seeds,5.605564266095057
BRN,processed_meat,10.31138150615782
BRN,red_meat,21.486743393677887
BRN,vegetables,108.7056234574144
BRN,whole_grains,7.864722377802729
BTN,fruits,66.08835070475742
BTN,legumes,32.53769497843981
BTN,nuts_seeds,2.8473795666710267
BTN,processed_meat,10.112372241707657
BTN,red_meat,21.07205007681713
BTN,vegetables,216.4196876142876
BTN,whole_grains,42.96460946352626
BWA,fruits,58.551207555264
BWA,legumes,9.785500559676109
BWA,nuts_seeds,2.9998057211856484
BWA,processed_meat,18.995027939886217
BWA,red_meat,57.01760310096972
BWA,vegetables,105.98860695545436
BWA,whole_grains,109.6174809448451
CAF,fruits,42.17060418101316
CAF,legumes,36.9700312950048
CAF,nuts_seeds,42.46681027219388
CAF,processed_meat,7.598049087705583
CAF,red_meat,137.48035673018134
CAF,vegetables,49.434271797084286
CAF,whole_grains,22.33375744137675
CAN,fruits,130.87749880338467
CAN,legumes,25.860652744732928
CAN,nuts_seeds,15.773273950371872
CAN,processed_meat,41.625809828004556
CAN,red_meat,79.29864294357284
CAN,vegetables,167.34441750496697
CAN,whole_grains,65.97310973001083
CHE,fruits,120.62673223402294
CHE,legumes,5.479545282631702
CHE,nuts_seeds,11.653790961892238
CHE,processed_meat,37.1151867902197
CHE,red_meat,86.52418318720787
CHE,vegetables,156.07078039810378
CHE,whole_grains,58.11566475676573
CHL,fruits,128.4547663048358
CHL,legumes,15.2961617377039
CHL,nuts_seeds,9.669276612909888
CHL,processed_meat,93.06666558234905
CHL,red_meat,34.03151094377321
CHL,vegetables,151.5014169180163
CHL,whole_grains,29.36007119544509
CHN,fruits,154.57747640000505
CHN,legumes,17.4556131473393
CHN,nuts_seeds,19.071928984648565
CHN,processed_meat,4.329363273865692
CHN,red_meat,108.03631328946918
CHN,vegetables,643.9857860862096
CHN,whole_grains,8.239467222635758
CIV,fruits,15.123174711261182
CIV,legumes,4.351892591362978
CIV,nuts_seeds,14.597737486653754
CIV,processed_meat,7.1657566023676615
CIV,red_meat,21.933516666387483
CIV,vegetables,55.90839344037296
CIV,whole_grains,44.63711002336016
CMR,fruits,33.95620376833692
CMR,legumes,56.70487739085596
CMR,nuts_seeds,28.414067276413085
CMR,processed_meat,3.739085325300744
CMR,red_meat,18.971109459961284
CMR,vegetables,202.6297470947553
CMR,whole_grains,47.78202118908231
COD,fruits,23.45433067595664
COD,legumes,13.352421624519511
COD,nuts_seeds,8.4744499336264
COD,processed_meat,7.167702181594046
COD,red_meat,3.318115826720033
COD,vegetables,14.685760869459694
COD,whole_grains,10.339403202717982
COG,fruits,36.376187412261615
COG,legumes,10.219729950956838
COG,nuts_seeds,7.616701563937015
COG,processed_meat,33.656151272513675
COG,red_meat,31.219794543377613
COG,vegetables,63.28458926112513
COG,whole_grains,39.491615379580736
COL,fruits,177.44348608229998
COL,legumes,16.78490029803107
COL,nuts_seeds,1.9927942519267496
COL,processed_meat,29.152263078504774
COL,red_meat,36.87947789838172
COL,vegetables,97.15168152923589
COL,whole_grains,19.22585971076329
COM,fruits,131.09509431906054
COM,legumes,46.81483132295609
COM,nuts_seeds,2.679309801990721
COM,processed_meat,2.890431646900465
COM,red_meat,14.871925520571471
COM,vegetables,23.56151790436282
COM,whole_grains,37.73990491089893
CPV,fruits,68.99983300514216
CPV,legumes,40.69320095406217
CPV,nuts_seeds,1.0625703000322395
CPV,processed_meat,7.247633929970639
CPV,red_meat,26.34584467763436
CPV,vegetables,141.8113113902508
CPV,whole_grains,90.56250769379616
CRI,fruits,124.66321838615208
CRI,legumes,27.311075251395568
CRI,nuts_seeds,3.784668686167149
CRI,processed_meat,22.70511490315651
CRI,red_meat,37.824540681190534
CRI,vegetables,59.67658587553821
CRI,whole_grains,32.708733599556666
CUB,fruits,107.74785358936138
CUB,legumes,44.54276625176212
CUB,nuts_seeds,0.6068513253787665
CUB,processed_meat,17.60201669574718
CUB,red_meat,67.56226580390927
CUB,vegetables,162.8643536620711
CUB,whole_grains,35.21322974247641
CYP,fruits,114.77231014831366
CYP,legumes,9.815149165215
CYP,nuts_seeds,15.018174639722805
CYP,processed_meat,16.047718105719024
CYP,red_meat,117.54727208866525
CYP,vegetables,156.05945394808202
CYP,whole_grains,152.99189553037235
CZE,fruits,107.14010911153431
CZE,legumes,9.110556161750988
CZE,nuts_seeds,4.613975580834663
CZE,processed_meat,57.5074528822608
CZE,red_meat,93.92223554978358
CZE,vegetables,142.72545873770258
