country,age,lx,ex
BEL,15-19,99590.823,67.6036
BEL,20-24,99496.402,62.6649
BEL,25-29,99329.636,57.7658
BEL,30-34,99136.455,52.8733
BEL,35-39,98876.33,48.0056
BEL,40-44,98517.644,43.1708
BEL,45-49,97977.486,38.3938
BEL,50-54,97107.914,33.7137
BEL,55-59,95743.595,29.1558
BEL,60-64,93522.881,24.784
BEL,65-69,89972.558,20.6569
BEL,70-74,84962.395,16.72
BEL,75-79,77826.959,13.0091
BEL,80-84,67440.453,9.6038
BEL,85-89,51940.399,6.6769
BEL,90-94,30975.876,4.4591
BEL,95+,11661.331,2.939
BEN,<1,100000.0,60.961
BEN,1-4,94844.846,63.2641
BEN,5-9,92252.623,60.99
BEN,10-14,90509.672,57.1222
BEN,15-19,89512.344,52.7314
BEN,20-24,88202.134,48.4749
BEN,25-29,86468.789,44.3955
BEN,30-34,84605.586,40.3176
BEN,35-39,82601.937,36.2342
BEN,40-44,80386.824,32.1621
BEN,45-49,77768.094,28.1591
BEN,50-54,74737.934,24.1959
BEN,55-59,70772.231,20.4059
BEN,60-64,65796.277,16.7524
BEN,65-69,58935.602,13.3956
BEN,70-74,49664.213,10.4091
BEN,75-79,37784.758,7.8706
BEN,80-84,24450.4,5.7923
BEN,85-89,12165.67,4.2102
BEN,90-94,4125.332,3.0425
BEN,95+,803.557,2.2279
BFA,<1,100000.0,61.2925
BFA,1-4,94579.797,63.7937
BFA,5-9,91853.453,61.6376
BFA,10-14,90672.019,57.4131
BFA,15-19,89956.57,52.8496
BFA,20-24,88876.434,48.4589
BFA,25-29,87357.923,44.2569
BFA,30-34,85775.86,40.0268
BFA,35-39,84061.883,35.7912
BFA,40-44,82131.783,31.572
BFA,45-49,79790.032,27.423
BFA,50-54,76930.942,23.3456
BFA,55-59,73084.146,19.4364
BFA,60-64,67919.41,15.7144
BFA,65-69,60513.762,12.3144
BFA,70-74,50367.684,9.2669
BFA,75-79,36822.938,6.7211
BFA,80-84,21478.683,4.7335
BFA,85-89,8621.452,3.3098
BFA,90-94,1983.484,2.2745
BFA,95+,193.908,1.7145
BGD,<1,100000.0,74.9298
BGD,1-4,98313.635,75.2131
BGD,5-9,97904.183,71.521
BGD,10-14,97603.298,66.7349
BGD,15-19,97351.919,61.8999
BGD,20-24,96889.982,57.1827
BGD,25-29,96485.359,52.4125
BGD,30-34,96069.739,47.6279
BGD,35-39,95561.08,42.868
BGD,40-44,94913.346,38.1423
BGD,45-49,93921.125,33.5172
BGD,50-54,92305.194,29.0561
BGD,55-59,89575.725,24.8601
BGD,60-64,85513.301,20.915
BGD,65-69,79895.187,17.2024
BGD,70-74,72332.986,13.7252
BGD,75-79,61686.364,10.6402
BGD,80-84,47707.244,8.0006
BGD,85-89,31542.446,5.8036
BGD,90-94,16021.039,4.0739
BGD,95+,5249.777,2.7872
BGR,<1,100000.0,75.7954
BGR,1-4,99511.734,75.1666
BGR,5-9,99408.951,71.2427
BGR,10-14,99340.47,66.2901
BGR,15-19,99254.699,61.345
BGR,20-24,99045.934,56.4682
BGR,25-29,98776.443,51.6154
BGR,30-34,98452.074,46.777
BGR,35-39,98005.131,41.978
BGR,40-44,97321.739,37.2538
BGR,45-49,96205.481,32.6547
BGR,50-54,94299.675,28.2598
BGR,55-59,91249.172,24.1149
BGR,60-64,86681.197,20.2462
BGR,65-69,80278.27,16.6528
BGR,70-74,72019.537,13.2651
BGR,75-79,61412.128,10.1061
BGR,80-84,47572.103,7.2861
BGR,85-89,30070.715,5.045
BGR,90-94,13199.179,3.4182
BGR,95+,3209.599,2.3722
BHS,<1,100000.0,74.7099
BHS,1-4,98934.229,74.5133
BHS,5-9,98745.736,70.6521
BHS,10-14,98624.801,65.736
BHS,15-19,98512.763,60.8076
BHS,20-24,98075.099,56.0654
BHS,25-29,97238.764,51.5258
BHS,30-34,96353.44,46.9756
BHS,35-39,95148.772,42.5371
BHS,40-44,93647.564,38.1778
BHS,45-49,91795.386,33.8956
BHS,50-54,89401.036,29.7338
BHS,55-59,86297.913,25.7089
BHS,60-64,82350.848,21.819
BHS,65-69,77508.788,18.0145
BHS,70-74,69046.96,14.8964
BHS,75-79,59468.401,11.8882
BHS,80-84,47133.593,9.3138
BHS,85-89,32908.316,7.2554
BHS,90-94,19371.328,5.6179
BHS,95+,9073.198,4.3441
BIH,<1,100000.0,78.0444
BIH,1-4,99513.326,77.4254
BIH,5-9,99455.395,73.4696
BIH,10-14,99423.43,68.4925
BIH,15-19,99374.793,63.5246
BIH,20-24,99228.32,58.614
BIH,25-29,98998.691,53.7442
BIH,30-34,98779.894,48.8576
BIH,35-39,98509.811,43.9843
BIH,40-44,98073.537,39.168
BIH,45-49,97371.399,34.431
BIH,50-54,96159.035,29.8307
BIH,55-59,94100.703,25.4241
BIH,60-64,90592.326,21.3034
BIH,65-69,84983.116,17.5344
BIH,70-74,77519.518,13.9724
BIH,75-79,66372.76,10.8643
BIH,80-84,51115.455,8.3368
BIH,85-89,33870.947,6.3009
BIH,90-94,18009.408,4.7243
BIH,95+,7028.461,3.5381
BLR,<1,100000.0,74.6235
BLR,1-4,99753.234,73.8077
BLR,5-9,99689.803,69.8536
BLR,10-14,99640.588,64.8868
BLR,15-19,99571.48,59.9298
BLR,20-24,99404.932,55.0255
BLR,25-29,99133.289,50.169
BLR,30-34,98716.456,45.3694
BLR,35-39,98021.903,40.6718
BLR,40-44,96915.409,36.1057
BLR,45-49,95239.386,31.6945
BLR,50-54,92795.763,27.4593
BLR,55-59,89341.732,23.4198
BLR,60-64,84392.551,19.6389
BLR,65-69,77327.767,16.1948
