country,risk_factor,exposure_g_per_day,source_country,source_year
BOL,whole_grains,35.78843086,BOL,2020
BRA,fruits,154.0757947,BRA,2020
BRA,legumes,14.69180968,BRA,2020
BRA,nuts_seeds,3.220070719,BRA,2020
BRA,omega3,0.3275072149,BRA,2020
BRA,processed_meat,5.035040386,BRA,2020
BRA,red_meat,81.46071395,BRA,2020
BRA,vegetables,82.34289781,BRA,2020
BRA,whole_grains,37.05394087,BRA,2020
BRB,fruits,87.66037456,BRB,2020
BRB,legumes,5.134642909,BRB,2020
BRB,nuts_seeds,4.635455437,BRB,2020
BRB,omega3,0.5854257428,BRB,2020
BRB,processed_meat,3.785889085,BRB,2020
BRB,red_meat,31.71131996,BRB,2020
BRB,vegetables,92.7609161,BRB,2020
BRB,whole_grains,27.23338825,BRB,2020
BRN,fruits,98.59540235,BRN,2020
BRN,legumes,5.304166629,BRN,2020
BRN,nuts_seeds,4.168872898,BRN,2020
BRN,omega3,0.659654442,BRN,2020
BRN,processed_meat,17.52216772,BRN,2020
BRN,red_meat,30.87498377,BRN,2020
BRN,vegetables,82.2265648,BRN,2020
BRN,whole_grains,30.07825636,BRN,2020
BTN,fruits,40.91386312,BTN,2020
BTN,legumes,6.570263737,BTN,2020
BTN,nuts_seeds,10.13778024,BTN,2020
BTN,omega3,0.1761750802,BTN,2020
BTN,processed_meat,4.037838026,BTN,2020
BTN,red_meat,15.35770096,BTN,2020
BTN,vegetables,109.0401151,BTN,2020
BTN,whole_grains,42.80360737,BTN,2020
BWA,fruits,26.84915972,BWA,2020
BWA,legumes,3.543557675,BWA,2020
BWA,nuts_seeds,1.177756198,BWA,2020
BWA,omega3,0.08046162636,BWA,2020
BWA,processed_meat,7.79038609,BWA,2020
BWA,red_meat,33.35564745,BWA,2020
BWA,vegetables,47.09363783,BWA,2020
BWA,whole_grains,90.77992783,BWA,2020
CAF,fruits,57.74993788,CAF,2020
CAF,legumes,5.506710006,CAF,2020
CAF,nuts_seeds,10.01389062,CAF,2020
CAF,omega3,0.226930047,CAF,2020
CAF,processed_meat,1.331583936,CAF,2020
CAF,red_meat,58.8958019,CAF,2020
CAF,vegetables,10.61531601,CAF,2020
CAF,whole_grains,33.40968717,CAF,2020
CAN,fruits,177.2877796,CAN,2020
CAN,legumes,6.819147753,CAN,2020
CAN,nuts_seeds,7.818703063,CAN,2020
CAN,omega3,0.4792354679,CAN,2020
CAN,processed_meat,23.27274056,CAN,2020
CAN,red_meat,63.44806226,CAN,2020
CAN,vegetables,123.5390048,CAN,2020
CAN,whole_grains,34.55733112,CAN,2020
CHE,fruits,149.1856152,CHE,2020
CHE,legumes,2.054367586,CHE,2020
CHE,nuts_seeds,5.79313219,CHE,2020
CHE,omega3,0.4081517032,CHE,2020
CHE,processed_meat,18.25093359,CHE,2020
CHE,red_meat,77.82005358,CHE,2020
CHE,vegetables,121.2213342,CHE,2020
CHE,whole_grains,17.80955806,CHE,2020
CHL,fruits,131.6973864,CHL,2020
CHL,legumes,5.697660986,CHL,2020
CHL,nuts_seeds,3.103427521,CHL,2020
CHL,omega3,0.3152980467,CHL,2020
CHL,processed_meat,25.90273064,CHL,2020
CHL,red_meat,76.28818269,CHL,2020
CHL,vegetables,118.6509841,CHL,2020
CHL,whole_grains,32.47430599,CHL,2020
CHN,fruits,96.18675863,CHN,2020
CHN,legumes,4.804335311,CHN,2020
CHN,nuts_seeds,6.684311023,CHN,2020
CHN,omega3,0.4367079494,CHN,2020
CHN,processed_meat,3.463476074,CHN,2020
CHN,red_meat,65.93713042,CHN,2020
CHN,vegetables,377.2888732,CHN,2020
CHN,whole_grains,31.62789248,CHN,2020
CIV,fruits,89.87910286,CIV,2020
CIV,legumes,1.902077368,CIV,2020
CIV,nuts_seeds,6.604930359,CIV,2020
